preset,authored_note,mean,n84,n85,n86,n87,n88,n89,n90,n91,n92,n93,n94,n95,n96,n97,n98,n99,n100,n101,n102,n103
084,84,0.63226039926323707,0.35664736760254429,0.54281127757641501,0.64992066201831922,0.60305402876912162,0.62729707869877205,0.6462049639300006,0.6847776024014216,0.70273825233577758,0.69215735072853157,0.68190152981800456,0.6688960434015967,0.66237474955356535,0.57584606356760248,0.59266094417661763,0.67116673188099707,0.6431470348428282,0.64520499146227939,0.64816643285240161,0.66882033282720055,0.68141454682074742
085,85,0.55130343854378039,0.50206386599427177,0.3528028835437747,0.46760233959310871,0.52708900814666493,0.55912901261810466,0.55655819106504834,0.56762849422251849,0.59593362755371737,0.57771635159081902,0.59634315207144883,0.59092804139087307,0.56675890221999914,0.59698334133993425,0.5819839754345264,0.59078730016719028,0.56640312173373497,0.56884119866799743,0.56992085396243031,0.56427930515431213,0.52631580440513359
086,86,0.56324130903444591,0.52961019737188408,0.5565237483348412,0.36805667073589465,0.58469018751521129,0.56426895466127469,0.53340323160634318,0.57911849790903791,0.61250054423217515,0.57382562054145592,0.55108137224838716,0.58809772275797267,0.53461079518782728,0.59400685254606689,0.57955128324588367,0.58621132168772738,0.62468257779841652,0.54672591339689192,0.60420492074156107,0.57559653432838997,0.57805923384167501
087,87,0.51704178810385604,0.53011624752851383,0.56305934231391086,0.57891041241333374,0.37066942816959492,0.57816974397403187,0.58193397050176687,0.53256759274462018,0.54498580380865447,0.51749493131004376,0.49721991385414582,0.52575442878859702,0.60651474651416015,0.52767097248919215,0.51401012974923332,0.46991594329811903,0.4777201574931127,0.47529594811478187,0.49392443756029109,0.45542600983728126,0.49947560161373589
088,88,0.63741418653393034,0.63564150085214199,0.56387230311795833,0.60426167743539672,0.5817488470936607,0.35134798051292054,0.53417786170879533,0.63288368215115187,0.67000783020535548,0.66957393147565958,0.66805918933445385,0.65911225155251729,0.66367934504667669,0.69117559153735042,0.68236456047212179,0.68077317650489644,0.68490405618659855,0.68686496602603053,0.69304765479628383,0.70056493418677146,0.69422239048186385
089,89,0.57813030174681845,0.56265117162236444,0.60660707033555006,0.6391863233077375,0.67778322976870586,0.56775634158097199,0.3895836867749608,0.59343129936591654,0.52996965199326818,0.57732409834286669,0.53444705967880601,0.59454801614180153,0.67488215996805601,0.56717869454698999,0.54599267204603597,0.5647873479479083,0.56934786374902235,0.59783730974531146,0.61119531347777745,0.55781164665252481,0.60028507788979113
090,90,0.50789415387228354,0.54084172399172004,0.52473126099427703,0.5390152715165023,0.46111325199044656,0.53206833238372908,0.55249683074615286,0.35615274705909405,0.49626542759858955,0.48686924929009123,0.45310921422984868,0.46084669660583077,0.44751170706104143,0.52002813339725928,0.54264544273481652,0.5309073556956847,0.5474783859014648,0.54766788590612181,0.55332173852779853,0.5298974452867703,0.53491497652843201
091,91,0.61878687855030368,0.67180340108304237,0.65181188650275668,0.66066700150261803,0.65207881780656929,0.65930116445461273,0.65181043458132493,0.60895395750797821,0.35944742325165213,0.55366601578232333,0.57978543674158345,0.56693301530145968,0.55760206497173181,0.55283350761055139,0.66057493642760889,0.58886245426944894,0.59508658746209298,0.6965082076057838,0.70584832414339704,0.71027459545575955,0.69188833854377796
092,92,0.44103897939152237,0.51325572284732957,0.51351400315719686,0.51424217645780945,0.48419733715395269,0.51151064647334354,0.53260816008546918,0.48677509771231253,0.51036750134704034,0.3184987149553184,0.39377533345585569,0.52118023582301187,0.4561145642588168,0.39683966560795897,0.36149393684949199,0.45343346774654902,0.34009271778006966,0.37469557560307976,0.36941615300424813,0.36092718111571559,0.40784139639587597
093,93,0.47286565743769005,0.56478853549213837,0.51736565394464895,0.53007686448258917,0.56440715528538976,0.54996195269678583,0.53838097844115795,0.50603883359332924,0.51812714394116322,0.41255884134061782,0.30093209169729473,0.465348929635719,0.49390453503374665,0.43449209148558471,0.45902876257511233,0.42484327453845605,0.4453299617576385,0.48210118473258068,0.50111960947517153,0.32090405012842688,0.42760269847624877
