design,arm,block,seed,job,engine,covariance,lambda,population,restarts_planned,budget,score,scored_evaluations,final_score,evaluations,iterations,restarts,stop_reason,converged,elapsed_s,pinned,dimension,matched,partial_cents,partial_level_db,partial_decay_octaves,partial_missing,partial_extra,spectral_fine_db,spectral_coarse_db,envelope_db,onset_db,decay_slope_dbps,waveform,mayfly_version,cmaes_version,revision
engine-shape,mayfly-r16,2,121002,b02-mayfly-r16,mayfly,,,10,16,24000,0.31348865374574508,10515,0.31348865374574508,24009,564,0,max_evaluations,false,116.62056022,0,30,1,0.013103812851467111,0,0.017003719406765108,0.83966129605197193,0.16205479810178403,12.945445774193537,15.597398312194995,0.65995540158081889,17.14404137773429,0.087373748740622759,0.74441282211301163,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,sep-cmaes-r,2,121002,b02-sep-cmaes-r,cmaes,separable,14,,0,24000,0.29544452623854622,23919,0.29544452623854622,24000,1715,5,max_evaluations,false,99.960909236999996,0,30,1,0.0024460455115767328,0,0.0010702958437618904,0.83966129605197193,0.17301142890395557,13.214249098733625,15.981455184519033,0.61805528698197942,9.493243496967386,0.025838790286202951,0.71394225227927988,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,blk-cmaes-r,2,121002,b02-blk-cmaes-r,cmaes,block,14,,0,24000,0.32938001450457882,22687,0.32938001450457882,24000,1715,5,max_evaluations,false,88.048711019999999,0,30,1,0.0045519100438327171,0,0.010400923564813343,0.83966129605197193,0.17775000481981551,13.022470105927209,15.992405900055079,0.79800082892547131,25.888938465336739,0.45634931186238781,0.69883859940404436,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,sep-cmaes-ipop,2,121002,b02-sep-cmaes-ipop,cmaes,separable,14,,0,24000,0.32017621021439852,23955,0.32017621021439852,24000,1714,1,max_evaluations,false,79.243770048000002,0,30,1,0.00071652219650886184,0,1.2506859302169145e-07,0.99216292501409364,0.011856125918553969,16.802962401687321,20.844547466864263,0.47649565546946698,16.188817210912443,5.3958374936158293e-05,0.99997210948660109,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,mayfly-single,3,121003,b03-mayfly-single,mayfly,,,10,1,24000,0.27504983877887279,23961,0.27504983876700245,24003,571,0,max_evaluations,false,108.111920422,9,30,2,0.17878983164937284,5.1191984571340044e-05,5.610855230505375e-06,0.68017161619525968,0,9.7587913735369014,11.095885479612283,0.72327668434809578,11.462599455096798,0.43617106175560494,0.58741465178056962,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,mayfly-r16,3,121003,b03-mayfly-r16,mayfly,,,10,16,24000,0.32944809794715885,9025,0.32944809794715885,24009,564,0,max_evaluations,false,75.501438081000003,0,30,1,0.021577440319564545,0,0.002958832676793359,0.99216292501409364,0.064776528554730595,18.034470223039076,21.854297359313684,0.67855375264586237,14.305765924705705,0.01897202506512663,0.99998448250544214,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,sep-cmaes-r,3,121003,b03-sep-cmaes-r,cmaes,separable,14,,0,24000,0.30465597246968085,9575,0.30465597246968085,24000,1715,5,max_evaluations,false,66.079735185999994,0,30,1,0.001791034208099492,0,0.0027858369390308946,0.83966129605197193,0.12309941164522611,13.025896682577827,15.844823916499189,0.66812019327484107,14.377068133240451,0.021641445114807922,0.7101608456153069,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,blk-cmaes-r,3,121003,b03-blk-cmaes-r,cmaes,block,14,,0,24000,0.32029528104854582,14193,0.32029528104854582,24000,1715,5,max_evaluations,false,64.476231275000004,0,30,1,0.0074339869632122912,0,0.0031954696050887632,0.83966129605197193,0.17265295306663508,12.875218315231539,15.638652878052953,0.6996240699316939,24.110394014670948,0.064349304584595757,0.71908754458047819,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,sep-cmaes-ipop,3,121003,b03-sep-cmaes-ipop,cmaes,separable,14,,0,24000,0.30734913209202847,23997,0.30734913209202847,24000,1714,1,max_evaluations,false,67.674150329,0,30,1,0.00045844188365506966,1.7763568394002505e-15,7.1444103864060082e-06,0.888986255167315,0.12262342563447355,17.329822752627713,20.928996284865391,0.58568236788590011,6.866219261874364,0.00029939121829336557,0.99955115650953918,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,mayfly-single,4,121004,b04-mayfly-single,mayfly,,,10,1,24000,0.30170004452006394,23961,0.3017000444834001,24003,571,0,max_evaluations,false,70.711685963999997,8,30,3,0.10576752251021358,3.4215978134117653,3.0433697342528257e-05,0.56915787136257467,0,9.2238826583552029,10.28758293837743,1.1730570640390543,11.732378749219475,3.5232286670350277e-06,0.59150340785032174,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,mayfly-r16,4,121004,b04-mayfly-r16,mayfly,,,10,16,24000,0.31463640821997585,1533,0.31463640821997585,24009,564,0,max_evaluations,false,68.248166040000001,8,30,5,0.1755905295857422,4.2497855325136467,0.0072195285945342762,0.44329200104658129,0,9.6320383905898819,11.015714566773324,1.1782344674656537,15.039465396686568,0.30877812056785814,0.57466625100676894,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,sep-cmaes-r,4,121004,b04-sep-cmaes-r,cmaes,separable,14,,0,24000,0.31187226400680734,14277,0.31187226400680734,24000,1715,5,max_evaluations,false,61.553772142,0,30,1,0.0043361934762842225,0,0.0011851023818972314,0.99216292501409364,0.017073281593116513,16.678914263649897,20.712776424034352,0.59665468345144868,9.8932233280194772,0.00090071725280793657,0.99947087454439421,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,blk-cmaes-r,4,121004,b04-blk-cmaes-r,cmaes,block,14,,0,24000,0.32702098189045087,23499,0.32702098189045087,24000,1715,5,max_evaluations,false,61.336502236999998,0,30,1,0.032584905319987804,0,0.0012909563799935997,0.83966129605197193,0.17709852302107543,13.08398007332724,16.092150629751778,0.78777427726242344,24.912503200816332,0.27323872833698282,0.72898936442875617,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,sep-cmaes-ipop,4,121004,b04-sep-cmaes-ipop,cmaes,separable,14,,0,24000,0.30288750434413997,23983,0.30288750434413997,24000,1714,1,max_evaluations,false,62.563739378999998,0,30,1,0.0029958417117563322,0,0.0002923415466596564,0.83966129605197193,0,11.684826178183226,14.124291512754025,0.95741031081972972,16.944097518672663,1.1275639133028967,0.46002179854708047,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,mayfly-single,5,121005,b05-mayfly-single,mayfly,,,10,1,24000,0.27716379451552792,23961,0.27716378026233612,24003,571,0,max_evaluations,false,68.815612635999997,6,30,3,0.09328011913330328,0.44248628970505249,0.00037034763688919165,0.56915787136257467,0,9.1710963337183529,10.199817907115065,1.2061075206998519,12.188048858745351,1.094374305665724e-05,0.48182738119913754,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,mayfly-r16,5,121005,b05-mayfly-r16,mayfly,,,10,16,24000,0.32545217415212074,3023,0.32545217415212074,24009,564,0,max_evaluations,false,66.174637775999997,2,30,1,0.026465993127648003,0,0.007554890517049162,0.83966129605197193,0,12.552323429217987,15.123342464931703,1.25704154075528,15.659610606977914,1.720929998433947,0.64668314937574189,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,sep-cmaes-r,5,121005,b05-sep-cmaes-r,cmaes,separable,14,,0,24000,0.31815084486590073,14277,0.31815084486590073,24000,1715,5,max_evaluations,false,61.228584456,0,30,1,0.011169740693077241,0,0.0019545277114328963,0.83966129605197193,0.17254353693936528,13.279482866314662,16.20106892242276,0.5880546890532633,24.494908562738843,0.0052805682987226987,0.70926615461548048,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,blk-cmaes-r,5,121005,b05-blk-cmaes-r,cmaes,block,14,,0,24000,0.31633787727763268,9547,0.31633787727763268,24000,1715,5,max_evaluations,false,61.305240105000003,0,30,1,0.0013101715351293564,0,0.010534676943094106,0.83966129605197193,0.16862535412312601,13.185960404219493,16.070291485999292,0.84678434516686452,16.205662800245413,0.054960603256219542,0.70930210854260989,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,sep-cmaes-ipop,5,121005,b05-sep-cmaes-ipop,cmaes,separable,14,,0,24000,0.30951457474674882,23227,0.30951457474674882,24000,1714,1,max_evaluations,false,61.999021294999999,0,30,1,0.0001693739769770275,0,3.7100344366672494e-06,0.83317397262078907,0.15607780073010719,16.086855828680882,19.768770930127076,0.54511205064976886,9.1649887676037434,0.00018548600666612458,0.99098419151161798,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,mayfly-single,6,121006,b06-mayfly-single,mayfly,,,10,1,24000,0.29120657953806783,23919,0.29120657953806783,24003,571,0,max_evaluations,false,71.480737700000006,8,30,6,0.061756886220789196,4.9206726816209274,0.00084735612148602671,0.27646597366737025,0,8.9456992581535992,9.8992866354895668,1.3008496831176282,12.882357495909009,6.4145211187138784e-06,0.41449388106547325,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,mayfly-r16,6,121006,b06-mayfly-r16,mayfly,,,10,16,24000,0.30951764865396958,1533,0.30951764865396958,24009,564,0,max_evaluations,false,71.752002289000004,8,30,6,0.30774483771465716,6.31246209410698,0.010935200780802502,0.27646597366737025,0,9.4039943724613622,10.507333519367345,1.2256548847340256,13.238525721580038,0.34214089050668939,0.50497156039314062,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,sep-cmaes-r,6,121006,b06-sep-cmaes-r,cmaes,separable,14,,0,24000,0.30669153912680286,9547,0.30669153912680286,24000,1715,5,max_evaluations,false,67.549610739000002,0,30,1,0.0021742229043830719,0,0.0025605556367537252,0.83966129605197193,0.16342374970067156,12.641589513483535,15.405577418423986,0.76877009167085564,13.415518129305442,0.088414668151944653,0.7208036925951411,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
