design,arm,block,seed,job,engine,covariance,lambda,population,restarts_planned,budget,score,scored_evaluations,final_score,evaluations,iterations,restarts,stop_reason,converged,elapsed_s,pinned,dimension,matched,partial_cents,partial_level_db,partial_decay_octaves,partial_missing,partial_extra,spectral_fine_db,spectral_coarse_db,envelope_db,onset_db,decay_slope_dbps,waveform,mayfly_version,cmaes_version,revision
rounds-48k,mayfly-single,5,125005,b05-mayfly-single,mayfly,,,10,1,48000,0.25243505127754301,47985,0.25243505122693682,48027,1143,0,max_evaluations,false,132.14399022999999,7,30,6,0.14665613633170904,0.017520859416820442,0.0053710179241145406,0.27646597366737025,0,9.0936317506571935,10.220499077754148,0.73127222711567308,11.242949455863501,0.10088956416388584,0.52724906313776143,v0.7.1,v0.1.0,bfc780b798ee010238c69c58a57bd3f31065e843
rounds-48k,mayfly-r16,5,125005,b05-mayfly-r16,mayfly,,,10,16,48000,0.30698406334160921,15011,0.30698406334160921,48033,1136,0,max_evaluations,false,129.76030989700001,2,30,1,0.0076830973415376036,0,0.011312225174073487,0.83966129605197193,0.18608650578951486,12.910000251203096,15.828317149893266,0.85112907497364243,9.5539966374542669,0.48601137047399057,0.71037441288507608,v0.7.1,v0.1.0,bfc780b798ee010238c69c58a57bd3f31065e843
rounds-48k,mayfly-single,6,125006,b06-mayfly-single,mayfly,,,10,1,48000,0.2791826208541745,47901,0.2791826208541745,48027,1143,0,max_evaluations,false,144.210602346,6,30,5,0.15168381650788229,1.3556164700249378,0.00032707023041695456,0.44329200104658129,0,8.7828389264401743,9.5675840194684731,1.0075775544159009,12.355801723935482,0.20610131154916544,0.5310701724151029,v0.7.1,v0.1.0,bfc780b798ee010238c69c58a57bd3f31065e843
rounds-48k,mayfly-r16,6,125006,b06-mayfly-r16,mayfly,,,10,16,48000,0.29976817281730156,2961,0.29976817281730156,48033,1136,0,max_evaluations,false,132.66346926599999,8,30,6,0.15650800672602158,5.6441395733607935,0.00096436362448104184,0.27646597366737025,0,9.045728658644407,10.200335282993642,1.1485027592982802,11.959061848444906,0.13203206223546715,0.57139363214242478,v0.7.1,v0.1.0,bfc780b798ee010238c69c58a57bd3f31065e843
rounds-48k,mayfly-single,7,125007,b07-mayfly-single,mayfly,,,10,1,48000,0.26684545326443981,47985,0.26684545326443981,48027,1143,0,max_evaluations,false,137.701673059,7,30,4,0.14806409871772608,0.00014969064436117207,0.0027431451948551687,0.45112907603248775,0,9.871893765320193,11.278238316002362,0.89419388811675138,8.6807660921078398,0.31675941214502501,0.5911596328328721,v0.7.1,v0.1.0,bfc780b798ee010238c69c58a57bd3f31065e843
rounds-48k,mayfly-r16,7,125007,b07-mayfly-r16,mayfly,,,10,16,48000,0.28224210068634331,2961,0.28224210068634331,48033,1136,0,max_evaluations,false,127.665630728,6,30,5,0.16817493073061951,0.90497219378822202,0.0018330589983453569,0.44329200104658129,0,9.0034354089383477,9.9693703136059071,1.1832990656023583,12.230097391639932,0.028704819200527254,0.58275067669281233,v0.7.1,v0.1.0,bfc780b798ee010238c69c58a57bd3f31065e843
rounds-48k,mayfly-single,8,125008,b08-mayfly-single,mayfly,,,10,1,48000,0.31123542108659918,47985,0.31122882093333826,48027,1143,0,max_evaluations,false,137.45721809700001,2,30,1,4.9460872994219528e-05,0,3.6217381682579486e-06,0.99216292501409364,0.0016906329442648077,16.935762737787453,20.69750551035936,0.46102024042227702,11.758662672930271,9.0877621518714591e-05,0.99966347146358969,v0.7.1,v0.1.0,bfc780b798ee010238c69c58a57bd3f31065e843
rounds-48k,mayfly-r16,8,125008,b08-mayfly-r16,mayfly,,,10,16,48000,0.3095153098847615,20973,0.3095153098847615,48033,1136,0,max_evaluations,false,122.21675766200001,1,30,1,0.0060571414812027125,4.4408920985006262e-16,0.0098510811426631983,0.83966129605197193,0.18095574264754727,12.943237728147789,15.696170815259418,0.88511625895806656,12.154937321956274,0.0075726372503943651,0.72352413735608567,v0.7.1,v0.1.0,bfc780b798ee010238c69c58a57bd3f31065e843
rounds-48k,mayfly-single,9,125009,b09-mayfly-single,mayfly,,,10,1,48000,0.30622112155360121,32571,0.30622112155360121,48027,1143,0,max_evaluations,false,125.098509654,7,30,4,0.16541110387042779,2.5004262152507031,0.0021163731104284723,0.56132079637666832,0,9.5651503873515935,10.665977022051715,1.2095800544228958,14.560396256848618,0.032522737770280585,0.59552417066551044,v0.7.1,v0.1.0,bfc780b798ee010238c69c58a57bd3f31065e843
rounds-48k,mayfly-r16,9,125009,b09-mayfly-r16,mayfly,,,10,16,48000,0.30531801158794974,42029,0.30531801158794974,48033,1136,0,max_evaluations,false,126.291325489,3,30,1,0.0048708087494020447,0,0.0074910508159722524,0.83966129605197193,0.17508510411475781,13.054632336938989,15.762620855662732,0.67889528114323494,13.380264793395856,0.0065241129654207697,0.70164376334130674,v0.7.1,v0.1.0,bfc780b798ee010238c69c58a57bd3f31065e843
rounds-48k,mayfly-single,10,125010,b10-mayfly-single,mayfly,,,10,1,48000,0.28671535161147688,47901,0.28671535039081758,48027,1143,0,max_evaluations,false,137.71769437399999,8,30,4,0.074942310157556022,0.79514118029313885,0.0002247736693864848,0.56132079637666832,0,9.6566740721069539,10.916110993168507,1.208103204955516,13.979825276628612,1.1763790245922223e-05,0.47907233027122836,v0.7.1,v0.1.0,bfc780b798ee010238c69c58a57bd3f31065e843
rounds-48k,mayfly-r16,10,125010,b10-mayfly-r16,mayfly,,,10,16,48000,0.29969726787468326,3003,0.29969726787468326,48033,1136,0,max_evaluations,false,135.65086548299999,7,30,5,0.085412212230432147,3.1376968253710906,0.0068198249189064322,0.44329200104658129,0,9.1669959712496496,10.255955455004807,1.3805419399217871,13.348451712075283,0.094383299334069193,0.46875886077427165,v0.7.1,v0.1.0,bfc780b798ee010238c69c58a57bd3f31065e843
rounds-48k,mayfly-single,11,125011,b11-mayfly-single,mayfly,,,10,1,48000,0.2494136927543778,47901,0.24941369275437775,48027,1143,0,max_evaluations,false,155.283409095,4,30,6,0.15519335351642274,0.011968659084979769,0.00105322563337316,0.27646597366737025,0,8.8966274589731835,10.181156692885736,0.60390973539828785,12.580125908421993,0.10823265317469222,0.50887035354947641,v0.7.1,v0.1.0,bfc780b798ee010238c69c58a57bd3f31065e843
rounds-48k,mayfly-r16,11,125011,b11-mayfly-r16,mayfly,,,10,16,48000,0.29815424494313575,3003,0.29815424494313575,48033,1136,0,max_evaluations,false,160.86864898600001,5,30,3,0.1235215804439973,0.87575784970386139,0.017589861941886286,0.56915787136257467,0,10.078129795692956,11.532775772726197,1.1879112609739642,13.17063652651313,0.24568526915219735,0.57902103920874948,v0.7.1,v0.1.0,bfc780b798ee010238c69c58a57bd3f31065e843
