preset,authored_note,mean,n84,n86,n88,n89,n91,n93,n95,n96
084,84,0.56894957201279628,0.32271394243335066,0.5690872345391379,0.65554369413667324,0.61075002368004094,0.60062509138378806,0.58597881489195813,0.59326521788724851,0.6136325571501724
086,86,0.54698408956199018,0.50979797654664349,0.34101952239441452,0.62725078696921432,0.60295615286212989,0.58572447375308434,0.56129805236806474,0.58337297188163262,0.5644527797207376
088,88,0.51611145243425582,0.62607817388644926,0.59731051178973904,0.34613984502685957,0.46902674004742695,0.52567935597376003,0.52464474861833543,0.51714923324955042,0.5228630108819261
089,89,0.48482985770792453,0.61704644916585472,0.56994776604755204,0.50087856352361637,0.34967589729170673,0.4426496667881421,0.49482414073568154,0.41178943776567417,0.49182694034516788
091,91,0.51280014693979181,0.61783924119922062,0.58566244336867213,0.52330515116376364,0.51046805697528397,0.32715112614950015,0.515748731347203,0.51733379846975291,0.50489262684493796
093,93,0.53398793365452601,0.67379412243442027,0.62782292843556531,0.54699495173357426,0.51781310825222804,0.49346067842012137,0.34849099171572723,0.54255301837773151,0.52097366986684024
095,95,0.54444185466855544,0.6245638876198889,0.60460972640786037,0.56440243147881342,0.55335059391106056,0.55424293206550768,0.55240534475052505,0.34266873155030303,0.55929118956448343
096,96,0.50197186579763187,0.57964962927343355,0.52843618969876383,0.53686082603616858,0.48678903406838897,0.47981857792941446,0.49706005914068213,0.53897552514613434,0.36818508508806913
mooncube-joint,91,0.46571625548052653,0.53491268366178224,0.49808038953370443,0.47806613011677318,0.46525818107102329,0.466563115916725,0.45536542486325282,0.37441734429293722,0.45306677438801418
